ticker,company_name,market,sector,industry,internal_category,financial_type,notes,company_name_jpx,market_jpx,sector_jpx,company_name_yf,market_yf,sector_yf,industry_yf,quote_type,currency,country,website,yf_fetch_status
9344.T,Axis Consulting Corporation,Growth,Industrials,Staffing & Employment Services,non_financial,non_financial,,アクシスコンサルティング,Growth,,Axis Consulting Corporation,JPX,Industrials,Staffing & Employment Services,EQUITY,JPY,Japan,https://axc-g.co.jp,ok
9345.T,"Bizmates, Inc.",Growth,Consumer Defensive,Education & Training Services,non_financial,non_financial,,ビズメイツ,Growth,,"Bizmates, Inc.",JPX,Consumer Defensive,Education & Training Services,EQUITY,JPY,Japan,https://www.bizmates.co.jp,ok
9346.T,"Cocorport, Inc.",Growth,Industrials,Staffing & Employment Services,non_financial,non_financial,,ココルポート,Growth,,"Cocorport, Inc.",JPX,Industrials,Staffing & Employment Services,EQUITY,JPY,Japan,https://www.cocorport.co.jp,ok
9348.T,"ispace, inc.",Growth,Technology,Computer Hardware,non_financial,non_financial,,ｉｓｐａｃｅ,Growth,,"ispace, inc.",JPX,Technology,Computer Hardware,EQUITY,JPY,Japan,https://ispace-inc.com,ok
9467.T,"AlphaPolis Co., Ltd.",Growth,Communication Services,Internet Content & Information,non_financial,non_financial,,アルファポリス,Growth,,"AlphaPolis Co., Ltd.",JPX,Communication Services,Internet Content & Information,EQUITY,JPY,Japan,https://www.alphapolis.co.jp,ok
9553.T,"MicroAd, Inc.",Growth,Technology,Software - Application,non_financial,non_financial,,マイクロアド,Growth,,"MicroAd, Inc.",JPX,Technology,Software - Application,EQUITY,JPY,Japan,https://www.microad.co.jp,ok
9554.T,"AViC Co., Ltd.",Growth,Communication Services,Advertising Agencies,non_financial,non_financial,,ＡＶｉＣ,Growth,,"AViC Co., Ltd.",JPX,Communication Services,Advertising Agencies,EQUITY,JPY,Japan,https://www.avic.jp,ok
9556.T,INTLOOP Inc.,Growth,Industrials,Consulting Services,non_financial,non_financial,,ＩＮＴＬＯＯＰ,Growth,,INTLOOP Inc.,JPX,Industrials,Consulting Services,EQUITY,JPY,Japan,https://www.intloop.com,ok
9557.T,"airCloset, Inc.",Growth,Consumer Cyclical,Internet Retail,non_financial,non_financial,,エアークローゼット,Growth,,"airCloset, Inc.",JPX,Consumer Cyclical,Internet Retail,EQUITY,JPY,Japan,https://corp.air-closet.com,ok
9558.T,"Japaniace Co.,Ltd.",Growth,Technology,Software - Infrastructure,non_financial,non_financial,,ジャパニアス,Growth,,"Japaniace Co.,Ltd.",JPX,Technology,Software - Infrastructure,EQUITY,JPY,Japan,https://jna.co.jp,ok
9560.T,PROGRIT Inc.,Growth,Consumer Defensive,Education & Training Services,non_financial,non_financial,,プログリット,Growth,,PROGRIT Inc.,JPX,Consumer Defensive,Education & Training Services,EQUITY,JPY,Japan,https://www.progrit.co.jp,ok
9561.T,GLAD CUBE Inc.,Growth,Technology,Software - Application,non_financial,non_financial,,グラッドキューブ,Growth,,GLAD CUBE Inc.,JPX,Technology,Software - Application,EQUITY,JPY,Japan,https://www.glad-cube.com,ok
9562.T,Business Coach Inc.,Growth,Consumer Defensive,Education & Training Services,non_financial,non_financial,,ビジネスコーチ,Growth,,Business Coach Inc.,JPX,Consumer Defensive,Education & Training Services,EQUITY,JPY,Japan,https://www.businesscoach.co.jp,ok
9563.T,Atlas Technologies Corporation,Growth,Technology,Information Technology Services,non_financial,non_financial,,Ａｔｌａｓ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,Growth,,Atlas Technologies Corporation,JPX,Technology,Information Technology Services,EQUITY,JPY,Japan,https://www.atlstech.com,ok
9565.T,GLOE Inc.,Growth,Communication Services,Electronic Gaming & Multimedia,non_financial,non_financial,,ＧＬＯＥ,Growth,,GLOE Inc.,JPX,Communication Services,Electronic Gaming & Multimedia,EQUITY,JPY,Japan,https://gloe.jp,ok
1432.T,DORYOKU Co Ltd,PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,動力,PRO Market,,DORYOKU Co Ltd,JPX,,,MUTUALFUND,JPY,,,ok
1445.T,"Hikari Holdings Co.,Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,ひかりホールディングス,PRO Market,,"Hikari Holdings Co.,Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
1452.T,"YOKOHAMA WRIGHT Industries Co.,LTD",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,横浜ライト工業,PRO Market,,"YOKOHAMA WRIGHT Industries Co.,LTD",JPX,,,MUTUALFUND,JPY,,,ok
2452.T,"Computer Mind Co., Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,コンピュータマインド,PRO Market,,"Computer Mind Co., Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
2985.T,First Stage Corporation,PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,ファーストステージ,PRO Market,,First Stage Corporation,JPX,,,MUTUALFUND,JPY,,,ok
2990.T,"Aida Sekkei Co.,Ltd.",PRO Market,Consumer Cyclical,Residential Construction,non_financial,non_financial,,アイダ設計,PRO Market,,"Aida Sekkei Co.,Ltd.",JPX,Consumer Cyclical,Residential Construction,EQUITY,JPY,Japan,https://www.aidagroup.co.jp,ok
2992.T,URBAN LiKE INC.,PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,アーバンライク,PRO Market,,URBAN LiKE INC.,JPX,,,MUTUALFUND,JPY,,,ok
2994.T,"Answer Holdings Co.,Ltd",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,アンサーホールディングス,PRO Market,,"Answer Holdings Co.,Ltd",JPX,,,MUTUALFUND,JPY,,,ok
2995.T,"J-REX Corporation Co., Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,ジェイレックス・コーポレーション,PRO Market,,"J-REX Corporation Co., Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
3448.T,"SUGA STEEL Co.,LTD.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,清鋼材,PRO Market,,"SUGA STEEL Co.,LTD.",JPX,,,MUTUALFUND,JPY,,,ok
3450.T,"Sato Sangyo Co., Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,サトウ産業,PRO Market,,"Sato Sangyo Co., Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
3483.T,"Shoei Co.,Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,翔栄,PRO Market,,"Shoei Co.,Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
4426.T,"Passlogy Co.,Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,パスロジ,PRO Market,,"Passlogy Co.,Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
5022.T,"5022.T,0P0001RNVQ,0",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,レボインターナショナル,PRO Market,,"5022.T,0P0001RNVQ,0",JPX,,,MUTUALFUND,JPY,,,ok
5037.T,"Fitworks Co.,Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,フィットワークス,PRO Market,,"Fitworks Co.,Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
5072.T,"ART FORCE JAPAN Co.,Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,アートフォースジャパン,PRO Market,,"ART FORCE JAPAN Co.,Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
5077.T,"Hands Co., Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,ハンズ,PRO Market,,"Hands Co., Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
5130.T,"Hiro Holdings Co., Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,ヒロホールディングス,PRO Market,,"Hiro Holdings Co., Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
5135.T,Air-U Ltd.,PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,ＡＩＲ－Ｕ,PRO Market,,Air-U Ltd.,JPX,,,MUTUALFUND,JPY,,,ok
5249.T,"Asakawa Systems Co., Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,あさかわシステムズ,PRO Market,,"Asakawa Systems Co., Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
5251.T,"WISS1 Co., Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,ウイズ・ワン,PRO Market,,"WISS1 Co., Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
5525.T,"Frontier Holdings Co.,Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,フロンティアホールディングス,PRO Market,,"Frontier Holdings Co.,Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
5528.T,"Frontier House Co.,Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,フロンティアハウス,PRO Market,,"Frontier House Co.,Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
5531.T,"Nakayama Fudousan Co.,Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,中山不動産,PRO Market,,"Nakayama Fudousan Co.,Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
5534.T,Angel Group Inc.,PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,エンゼルグループ,PRO Market,,Angel Group Inc.,JPX,,,MUTUALFUND,JPY,,,ok
5536.T,"5536.T,0P0001RROS,0",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,京橋アートレジデンス,PRO Market,,"5536.T,0P0001RROS,0",JPX,,,MUTUALFUND,JPY,,,ok
5573.T,"Doraku Holdings Co.,Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,働楽ホールディングス,PRO Market,,"Doraku Holdings Co.,Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
5581.T,"Chi-technology Co.,Ltd.",PRO Market,Technology,Software - Application,non_financial,non_financial,,カイテクノロジー,PRO Market,,"Chi-technology Co.,Ltd.",JPX,Technology,Software - Application,EQUITY,JPY,Japan,https://www.chitech.co.jp,ok
5584.T,"Strawberry jams Co.,Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,Ｓｔｒａｗｂｅｒｒｙ　ｊａｍｓ,PRO Market,,"Strawberry jams Co.,Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
5594.T,"5594.T,0P0001RT0R,0",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,エム・デー・ビー,PRO Market,,"5594.T,0P0001RT0R,0",JPX,,,MUTUALFUND,JPY,,,ok
5598.T,YOTTAVIAS CO LTD,PRO Market,Technology,Information Technology Services,non_financial,non_financial,,Ｙｏｔｔａｖｉａｓ,PRO Market,,YOTTAVIAS CO LTD,JPX,Technology,Information Technology Services,EQUITY,JPY,Japan,https://yottavias.co.jp,ok
5617.T,"5617.T,0P0001RW4J,0",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,ウィル・ドゥ,PRO Market,,"5617.T,0P0001RW4J,0",JPX,,,MUTUALFUND,JPY,,,ok
5620.T,SPO Entertainment Inc.,PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,エスピーオー,PRO Market,,SPO Entertainment Inc.,JPX,,,MUTUALFUND,JPY,,,ok
5622.T,"5622.T,0P0001S1I3,0",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,ワンビ,PRO Market,,"5622.T,0P0001S1I3,0",JPX,,,MUTUALFUND,JPY,,,ok
5840.T,"Nippon Souken Co., Ltd.",PRO Market,Financial Services,Insurance Brokers,insurance,insurance,,日本総険,PRO Market,,"Nippon Souken Co., Ltd.",JPX,Financial Services,Insurance Brokers,EQUITY,JPY,Japan,https://www.iba-ns.com,ok
5866.T,WIZBIZ INC.,PRO Market,Industrials,Specialty Business Services,non_financial,non_financial,,ＷｉｚＢｉｚ,PRO Market,,WIZBIZ INC.,JPX,Industrials,Specialty Business Services,EQUITY,JPY,Japan,https://wizbiz.co.jp,ok
5883.T,"GT Holdings Co.,Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,ＧＴホールディングス,PRO Market,,"GT Holdings Co.,Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
5886.T,"Ookabe Glass Co.,Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,ＯＯＫＡＢＥ　ＧＬＡＳＳ,PRO Market,,"Ookabe Glass Co.,Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
5887.T,"Kokyo,Inc.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,光響,PRO Market,,"Kokyo,Inc.",JPX,,,MUTUALFUND,JPY,,,ok
5890.T,"5890.T,0P0001RUZT,0",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,オフィスバスターズ,PRO Market,,"5890.T,0P0001RUZT,0",JPX,,,MUTUALFUND,JPY,,,ok
5893.T,"5893.T,0P0001S4E4,0",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,ＲＡＶＩＰＡ,PRO Market,,"5893.T,0P0001S4E4,0",JPX,,,MUTUALFUND,JPY,,,ok
6168.T,One Group Corp.,PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,ＯＮＥ　ＧＲＯＵＰ,PRO Market,,One Group Corp.,JPX,,,MUTUALFUND,JPY,,,ok
6174.T,"Dentas Co., Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,デンタス,PRO Market,,"Dentas Co., Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
6527.T,"Waka Manufacturing Co., Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,ワカ製作所,PRO Market,,"Waka Manufacturing Co., Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
6576.T,揚工舎,PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,揚工舎,PRO Market,,,,,,,,,,ok
6596.T,"TSUKUBASEIKO Co.,Ltd.",PRO Market,Technology,Semiconductor Equipment & Materials,non_financial,non_financial,,筑波精工,PRO Market,,"TSUKUBASEIKO Co.,Ltd.",JPX,Technology,Semiconductor Equipment & Materials,EQUITY,JPY,Japan,https://www.tsukubaseiko.co.jp,ok
6695.T,"Tripleone Co., Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,キャストリコ,PRO Market,,"Tripleone Co., Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
7056.T,"Maruc Co.,Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,マルク,PRO Market,,"Maruc Co.,Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
7098.T,Agent Inc.,PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,エージェント,PRO Market,,Agent Inc.,JPX,,,MUTUALFUND,JPY,,,ok
7132.T,Flobal Corporation,PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,フローバル,PRO Market,,Flobal Corporation,JPX,,,MUTUALFUND,JPY,,,ok
7136.T,"Wellbin Group Co.,Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,ウェルビングループ,PRO Market,,"Wellbin Group Co.,Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
7137.T,"Grantomato Co.,Ltd.",PRO Market,Consumer Cyclical,Specialty Retail,non_financial,non_financial,,グラントマト,PRO Market,,"Grantomato Co.,Ltd.",JPX,Consumer Cyclical,Specialty Retail,EQUITY,JPY,Japan,https://www.grantomato.jp,ok
7139.T,"TOKYO KOATSU Co., Ltd.",PRO Market,Basic Materials,Specialty Chemicals,non_financial,non_financial,,東京高圧山崎,PRO Market,,"TOKYO KOATSU Co., Ltd.",JPX,Basic Materials,Specialty Chemicals,EQUITY,JPY,Japan,https://www.tokyo-koatsu.com,ok
7170.T,"Chuou International Group Co., Ltd.",PRO Market,Financial Services,Insurance - Diversified,insurance,insurance,,中央インターナショナルグループ,PRO Market,,"Chuou International Group Co., Ltd.",JPX,Financial Services,Insurance - Diversified,EQUITY,JPY,Japan,https://www.cig-ins.co.jp,ok
7176.T,"Simplex Financial Holdings Co., Ltd.",PRO Market,Financial Services,Capital Markets,other_financial,other_financial,,シンプレクス・ファイナンシャル・ホールディングス,PRO Market,,"Simplex Financial Holdings Co., Ltd.",JPX,Financial Services,Capital Markets,EQUITY,JPY,Japan,https://www.simplex-f-holdings.com,ok
7355.T,"Issunbou Co.,Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,一寸房,PRO Market,,"Issunbou Co.,Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
7364.T,"RYUKYU ASTEEDA Sports Club Co., Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,琉球アスティーダスポーツクラブ,PRO Market,,"RYUKYU ASTEEDA Sports Club Co., Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
7680.T,"KEIJIDOUSHAKAN.Co.,Ltd.",PRO Market,Consumer Cyclical,Auto & Truck Dealerships,non_financial,non_financial,,軽自動車館,PRO Market,,"KEIJIDOUSHAKAN.Co.,Ltd.",JPX,Consumer Cyclical,Auto & Truck Dealerships,EQUITY,JPY,Japan,https://www.keijidousyakan.com,ok
7690.T,Current Motor Corporation,PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,カレント自動車,PRO Market,,Current Motor Corporation,JPX,,,MUTUALFUND,JPY,,,ok
7691.T,C Channel Corporation,PRO Market,Communication Services,Internet Content & Information,non_financial,non_financial,,Ｃ　Ｃｈａｎｎｅｌ,PRO Market,,C Channel Corporation,JPX,Communication Services,Internet Content & Information,EQUITY,JPY,Japan,https://www.cchan.tv,ok
7693.T,"Hokkaido Shika Sangyo Co., Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,北海道歯科産業,PRO Market,,"Hokkaido Shika Sangyo Co., Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
8921.T,"C's Create.Co.,Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,シーズクリエイト,PRO Market,,"C's Create.Co.,Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
9146.T,"Gokendo Co., Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,五健堂ホールディングス,PRO Market,,"Gokendo Co., Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
9149.T,"Otomo Logistics Service Co., Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,大友ロジスティクスサービス,PRO Market,,"Otomo Logistics Service Co., Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
9156.T,"HANA HOLDINGS Co.,Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,はなホールディングス,PRO Market,,"HANA HOLDINGS Co.,Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
9169.T,Daishinsha Inc.,PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,大伸社,PRO Market,,Daishinsha Inc.,JPX,,,MUTUALFUND,JPY,,,ok
9222.T,"manaby Co.,Ltd.",PRO Market,Industrials,Staffing & Employment Services,non_financial,non_financial,,ｍａｎａｂｙ,PRO Market,,"manaby Co.,Ltd.",JPX,Industrials,Staffing & Employment Services,EQUITY,JPY,Japan,https://www.manaby.co.jp,ok
9226.T,IGER Inc.,PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,アイガー,PRO Market,,IGER Inc.,JPX,,,MUTUALFUND,JPY,,,ok
9239.T,"9239.T,0P0001RROR,0",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,ケーイーティ,PRO Market,,"9239.T,0P0001RROR,0",JPX,,,MUTUALFUND,JPY,,,ok
9243.T,"FT Holdings Co., Inc.",PRO Market,Industrials,Specialty Business Services,non_financial,non_financial,,富士テクノホールディングス,PRO Market,,"FT Holdings Co., Inc.",JPX,Industrials,Specialty Business Services,EQUITY,JPY,Japan,https://www.fjt-hd.co.jp,ok
9334.T,"IBIS HOLDINGS Co., Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,アイビスホールディングス,PRO Market,,"IBIS HOLDINGS Co., Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
9335.T,"Techno Creative Co., Ltd.",PRO Market,,,non_financial,non_financial,industry_missing; sector_missing,テクノクリエイティブ,PRO Market,,"Techno Creative Co., Ltd.",JPX,,,MUTUALFUND,JPY,,,ok
1301.T,"Kyokuyo Co., Ltd.",Prime,Consumer Defensive,Packaged Foods,non_financial,non_financial,,極洋,Prime,,"Kyokuyo Co., Ltd.",JPX,Consumer Defensive,Packaged Foods,EQUITY,JPY,Japan,https://www.kyokuyo.co.jp,ok
1332.T,Nissui Corporation,Prime,Consumer Defensive,Packaged Foods,non_financial,non_financial,,ニッスイ,Prime,,Nissui Corporation,JPX,Consumer Defensive,Packaged Foods,EQUITY,JPY,Japan,https://www.nissui.co.jp,ok
1333.T,Umios Corporation,Prime,Consumer Defensive,Packaged Foods,non_financial,non_financial,,マルハニチロ,Prime,,Umios Corporation,JPX,Consumer Defensive,Packaged Foods,EQUITY,JPY,Japan,https://www.umios.com/jp,ok
1375.T,"Yukiguni Factory Co., Ltd.",Prime,Consumer Defensive,Packaged Foods,non_financial,non_financial,,ユキグニファクトリー,Prime,,"Yukiguni Factory Co., Ltd.",JPX,Consumer Defensive,Packaged Foods,EQUITY,JPY,Japan,https://www.yukiguni-factory.co.jp,ok
1377.T,Sakata Seed Corporation,Prime,Consumer Defensive,Farm Products,non_financial,non_financial,,サカタのタネ,Prime,,Sakata Seed Corporation,JPX,Consumer Defensive,Farm Products,EQUITY,JPY,Japan,https://corporate.sakataseed.co.jp,ok
1379.T,Hokuto Corporation,Prime,Consumer Defensive,Farm Products,non_financial,non_financial,,ホクト,Prime,,Hokuto Corporation,JPX,Consumer Defensive,Farm Products,EQUITY,JPY,Japan,https://www.hokto-kinoko.co.jp,ok
1414.T,"SHO-BOND Holdings Co.,Ltd.",Prime,Industrials,Engineering & Construction,non_financial,non_financial,,ショーボンドホールディングス,Prime,,"SHO-BOND Holdings Co.,Ltd.",JPX,Industrials,Engineering & Construction,EQUITY,JPY,Japan,https://www.sho-bondhd.jp,ok
1417.T,MIRAIT ONE Corporation,Prime,Industrials,Engineering & Construction,non_financial,non_financial,,ミライト・ワン,Prime,,MIRAIT ONE Corporation,JPX,Industrials,Engineering & Construction,EQUITY,JPY,Japan,https://www.mirait-one.com,ok
1419.T,"Tama Home Co., Ltd.",Prime,Consumer Cyclical,Residential Construction,non_financial,non_financial,,タマホーム,Prime,,"Tama Home Co., Ltd.",JPX,Consumer Cyclical,Residential Construction,EQUITY,JPY,Japan,https://www.tamahome.jp,ok
1429.T,"Nippon Aqua Co., Ltd.",Prime,Industrials,Engineering & Construction,non_financial,non_financial,,日本アクア,Prime,,"Nippon Aqua Co., Ltd.",JPX,Industrials,Engineering & Construction,EQUITY,JPY,Japan,https://www.n-aqua.jp,ok
1433.T,"Besterra Co., Ltd.",Prime,Industrials,Engineering & Construction,non_financial,non_financial,,ベステラ,Prime,,"Besterra Co., Ltd.",JPX,Industrials,Engineering & Construction,EQUITY,JPY,Japan,https://www.besterra.co.jp,ok
1515.T,"Nittetsu Mining Co., Ltd.",Prime,Basic Materials,Copper,non_financial,non_financial,,日鉄鉱業,Prime,,"Nittetsu Mining Co., Ltd.",JPX,Basic Materials,Copper,EQUITY,JPY,Japan,https://www.nittetsukou.co.jp,ok
1518.T,"Mitsui Matsushima Holdings Co., Ltd.",Prime,Energy,Thermal Coal,non_financial,non_financial,,三井松島ホールディングス,Prime,,"Mitsui Matsushima Holdings Co., Ltd.",JPX,Energy,Thermal Coal,EQUITY,JPY,Japan,https://www.mitsui-matsushima.co.jp,ok
1605.T,Inpex Corporation,Prime,Energy,Oil & Gas E&P,non_financial,non_financial,,ＩＮＰＥＸ,Prime,,Inpex Corporation,JPX,Energy,Oil & Gas E&P,EQUITY,JPY,Japan,https://www.inpex.co.jp,ok
1662.T,"Japan Petroleum Exploration Co., Ltd.",Prime,Energy,Oil & Gas E&P,non_financial,non_financial,,石油資源開発,Prime,,"Japan Petroleum Exploration Co., Ltd.",JPX,Energy,Oil & Gas E&P,EQUITY,JPY,Japan,https://www.japex.co.jp,ok
1663.T,K&O Energy Group Inc.,Prime,Utilities,Utilities - Regulated Gas,non_financial,non_financial,,Ｋ＆Ｏエナジーグループ,Prime,,K&O Energy Group Inc.,JPX,Utilities,Utilities - Regulated Gas,EQUITY,JPY,Japan,https://www.k-and-o-energy.co.jp,ok
1719.T,Hazama Ando Corporation,Prime,Industrials,Engineering & Construction,non_financial,non_financial,,安藤・間,Prime,,Hazama Ando Corporation,JPX,Industrials,Engineering & Construction,EQUITY,JPY,Japan,https://www.ad-hzm.co.jp,ok
1720.T,"Tokyu Construction Co., Ltd.",Prime,Industrials,Engineering & Construction,non_financial,non_financial,,東急建設,Prime,,"Tokyu Construction Co., Ltd.",JPX,Industrials,Engineering & Construction,EQUITY,JPY,Japan,https://www.tokyu-cnst.co.jp,ok
1721.T,COMSYS Holdings Corporation,Prime,Industrials,Engineering & Construction,non_financial,non_financial,,コムシスホールディングス,Prime,,COMSYS Holdings Corporation,JPX,Industrials,Engineering & Construction,EQUITY,JPY,Japan,https://www.comsys-hd.co.jp,ok
1726.T,Br. Holdings Corporation,Prime,Industrials,Engineering & Construction,non_financial,non_financial,,ビーアールホールディングス,Prime,,Br. Holdings Corporation,JPX,Industrials,Engineering & Construction,EQUITY,JPY,Japan,https://www.brhd.co.jp,ok
1762.T,"Takamatsu Construction Group Co., Ltd.",Prime,Industrials,Engineering & Construction,non_financial,non_financial,,高松コンストラクショングループ,Prime,,"Takamatsu Construction Group Co., Ltd.",JPX,Industrials,Engineering & Construction,EQUITY,JPY,Japan,https://www.takamatsu-cg.co.jp,ok
1766.T,Token Corporation,Prime,Real Estate,Real Estate Services,non_financial,non_financial,,東建コーポレーション,Prime,,Token Corporation,JPX,Real Estate,Real Estate Services,EQUITY,JPY,Japan,https://www.token.co.jp,ok
1773.T,YTL Corporation Berhad,Prime,Utilities,Utilities - Diversified,non_financial,non_financial,,ワイ・ティー・エル・コーポレーション・バーハッド,Prime,,YTL Corporation Berhad,JPX,Utilities,Utilities - Diversified,EQUITY,JPY,Malaysia,https://www.ytl.com,ok
1780.T,Yamaura Corporation,Prime,Industrials,Engineering & Construction,non_financial,non_financial,,ヤマウラ,Prime,,Yamaura Corporation,JPX,Industrials,Engineering & Construction,EQUITY,JPY,Japan,https://www.yamaura.co.jp,ok
1786.T,Oriental Shiraishi Corporation,Prime,Industrials,Engineering & Construction,non_financial,non_financial,,オリエンタル白石,Prime,,Oriental Shiraishi Corporation,JPX,Industrials,Engineering & Construction,EQUITY,JPY,Japan,https://www.orsc.co.jp,ok
1801.T,Taisei Corporation,Prime,Industrials,Engineering & Construction,non_financial,non_financial,,大成建設,Prime,,Taisei Corporation,JPX,Industrials,Engineering & Construction,EQUITY,JPY,Japan,https://www.taisei.co.jp,ok
1802.T,Obayashi Corporation,Prime,Industrials,Engineering & Construction,non_financial,non_financial,,大林組,Prime,,Obayashi Corporation,JPX,Industrials,Engineering & Construction,EQUITY,JPY,Japan,https://www.obayashi.co.jp,ok
1803.T,Shimizu Corporation,Prime,Industrials,Engineering & Construction,non_financial,non_financial,,清水建設,Prime,,Shimizu Corporation,JPX,Industrials,Engineering & Construction,EQUITY,JPY,Japan,https://www.shimz.co.jp,ok
1808.T,HASEKO Corporation,Prime,Consumer Cyclical,Residential Construction,non_financial,non_financial,,長谷工コーポレーション,Prime,,HASEKO Corporation,JPX,Consumer Cyclical,Residential Construction,EQUITY,JPY,Japan,https://www.haseko.co.jp,ok
1812.T,Kajima Corporation,Prime,Industrials,Engineering & Construction,non_financial,non_financial,,鹿島建設,Prime,,Kajima Corporation,JPX,Industrials,Engineering & Construction,EQUITY,JPY,Japan,https://www.kajima.co.jp,ok
