financial_type_code,financial_type_name,financial_type_ja,description,sample_count,confidence,ticker_list,per_median,per_q25,per_q75,per_n,pbr_median,pbr_q25,pbr_q75,pbr_n,ev_ebitda_median,ev_ebitda_q25,ev_ebitda_q75,ev_ebitda_n,dividend_yield_median,dividend_yield_q25,dividend_yield_q75,dividend_yield_n,roe_median,roe_q25,roe_q75,roe_n,roa_median,roa_q25,roa_q75,roa_n,equity_ratio_median,equity_ratio_q25,equity_ratio_q75,equity_ratio_n,interest_coverage_median,interest_coverage_q25,interest_coverage_q75,interest_coverage_n,operating_margin_median,operating_margin_q25,operating_margin_q75,operating_margin_n,net_margin_median,net_margin_q25,net_margin_q75,net_margin_n,ebitda_margin_median,ebitda_margin_q25,ebitda_margin_q75,ebitda_margin_n,revenue_growth_median,revenue_growth_q25,revenue_growth_q75,revenue_growth_n,earnings_growth_median,earnings_growth_q25,earnings_growth_q75,earnings_growth_n,market_cap_median,market_cap_q25,market_cap_q75,market_cap_n,enterprise_value_median,enterprise_value_q25,enterprise_value_q75,enterprise_value_n
LLW,LOW_MARGIN_HIGH_LEVERAGE,低マージン・高レバレッジ,収益性・財務ともに厳しい。市況・政策金利の影響大。,15,HIGH,"2384.T,2429.T,2501.T,3154.T,3156.T,3182.T,3199.T,3284.T,3286.T,3326.T,3387.T,3457.T,3863.T,4188.T,4343.T",17.3615,13.4354,29.9242,15,1.2488,0.9677,3.1683,15,9.073,7.7855,15.029,14,0.0507,0.0272,0.4744,14,0.0803,0.0691,0.1356,15,0.0235,0.0171,0.0344,15,0.2564,0.2037,0.2878,15,6.005,3.2225,13.46,14,0.0302,0.0171,0.0388,15,0.0174,0.0149,0.0237,15,0.0573,0.0415,0.0877,15,0.037,-0.139,0.069,13,0.0201,-0.273,0.051,9,50064703488.0,25049609216.0,151669309440.0,15,102121816064.0,52587024384.0,315016445952.0,15
LMH,LOW_MARGIN_HEAVY_ASSET,低マージン・重資産型,設備投資が大きく利益率が低い。PBRが低くなりやすい。,5,MID,"1873.T,2935.T,3315.T,4657.T,8835.T",30.7259,12.7485,50.4659,4,0.7597,0.5742,0.9053,5,9.762,7.631,10.28,5,0.0297,0.0227,0.0377,4,0.0224,-0.0654,0.0354,4,0.0112,0.0048,0.0178,4,0.4315,0.328,0.5112,5,10.81,5.91,20.09,5,0.0251,0.0156,0.0258,5,0.0077,0.0074,0.0095,5,0.0659,0.0421,0.0712,5,-0.172,-0.198,-0.071,5,0.1303,0.076,0.1847,2,12479435776.0,6946896896.0,15071460352.0,5,18168434688.0,12579461120.0,18788397056.0,5
LRG,LOW_MARGIN_RECOVERY_GROWTH,低マージン・回復・成長期,現在は利益率低いが成長中。事業転換・リストラ後の回復期。,33,HIGH,"1301.T,1887.T,2157.T,2181.T,2282.T,2462.T,2531.T,2594.T,2664.T,2681.T,2737.T,2768.T,2791.T,2882.T,3107.T,3132.T,3180.T,3186.T,3196.T,3349.T,3391.T,3401.T,3402.T,3415.T,3546.T,3549.T,3657.T,3660.T,3678.T,3915.T,3941.T,4088.T,4118.T",17.6668,13.1061,21.1414,33,1.3803,1.0184,1.9727,33,8.188,6.3618,11.684,32,0.0323,0.0258,0.43,33,0.0793,0.0391,0.1337,32,0.0353,0.0204,0.0508,31,0.44,0.3732,0.5124,33,25.61,10.87,54.77,33,0.0346,0.0217,0.0433,33,0.0184,0.0071,0.0324,33,0.0535,0.0348,0.0746,33,0.132,0.093,0.161,21,0.0338,-0.0602,0.1715,20,85623054336.0,42568400896.0,353452523520.0,33,142900051968.0,43616075776.0,512904036352.0,33
LWS,LOW_MARGIN_WHOLESALER,低マージン・商社・卸売型,薄利多売だが規模と財務健全性で安定。ROEはそこそこ。,23,HIGH,"1762.T,1815.T,1899.T,2389.T,2692.T,2733.T,2784.T,2931.T,3034.T,3048.T,3139.T,3151.T,3183.T,3360.T,3388.T,3431.T,3443.T,3632.T,3662.T,4433.T,7446.T,7635.T,9419.T",15.6082,10.0581,18.9348,22,0.9453,0.8174,1.4495,23,7.483,5.3325,9.1425,23,0.0346,0.0241,0.0398,22,0.0721,0.0576,0.0899,22,0.0294,0.0182,0.0401,22,0.4303,0.3588,0.5332,23,54.165,35.815,144.5325,20,0.0297,0.0202,0.0332,23,0.0224,0.0116,0.0333,23,0.0465,0.0227,0.0686,23,-0.005,-0.0535,0.0355,23,-0.188,-0.545,0.182,19,62681415680.0,33362509824.0,92448559104.0,23,49720832000.0,16679014912.0,108376252416.0,23
MLG,MID_LIGHT_GROWTH,中収益・軽資産・高成長,SaaS・プラットフォーム系の中期フェーズ。利益率改善途上。,0,NONE,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
MSD,MID_STABLE_DIVIDEND,中収益・安定配当型,成熟期で高配当。インカム投資家向け。PERよりPBR・配当利回りで評価。,16,HIGH,"1898.T,1946.T,2109.T,2811.T,3101.T,3382.T,3776.T,3946.T,4004.T,4040.T,4043.T,4182.T,4183.T,4189.T,4401.T,7812.T",16.3063,12.9518,20.0855,16,1.324,0.8239,1.4063,16,7.4585,6.2128,8.2318,16,0.0326,0.024,0.0386,16,0.0812,0.042,0.0949,16,0.0385,0.0258,0.0419,16,0.4442,0.3888,0.5307,16,16.695,7.14,24.5325,14,0.0673,0.061,0.0854,16,0.0335,0.0211,0.06,16,0.1102,0.1044,0.1209,16,-0.034,-0.0792,-0.008,16,0.0245,-0.1985,0.0771,15,169871654912.0,57706229760.0,492294848512.0,16,288409354240.0,97089244160.0,598233964544.0,16
MSG,MID_STABLE_GROWTH,中収益・成長型・健全,中程度の収益性で着実に成長中。バリュー×グロースの中間。,20,HIGH,"1515.T,1802.T,1803.T,1813.T,1860.T,1925.T,1951.T,2331.T,2607.T,2871.T,3046.T,3093.T,3105.T,3197.T,3395.T,3405.T,3561.T,4061.T,4062.T,4246.T",18.8145,16.4271,27.9836,20,1.7259,1.2378,2.7714,20,9.7245,8.2407,10.8888,18,0.0243,0.0221,0.0344,20,0.1076,0.0822,0.1196,17,0.0431,0.0309,0.0512,17,0.4766,0.3782,0.5527,20,23.88,14.49,45.695,19,0.0761,0.065,0.091,20,0.0475,0.0069,0.0575,20,0.0958,0.0,0.1247,20,0.15,0.102,0.1905,11,0.18,0.045,0.5185,10,386769813504.0,110681687040.0,653133545472.0,20,597240479744.0,110462124032.0,766103797760.0,20
MSH,MID_HEAVY_STABLE,中収益・重資産・安定,設備投資が大きいが安定した収益基盤を持つ製造業。,5,MID,"2209.T,2742.T,2874.T,3191.T,4023.T",12.9032,12.3612,22.8927,5,1.0635,1.0059,1.2448,5,8.5205,5.637,11.9922,4,0.0398,0.0161,0.047,5,0.0762,0.0473,0.1093,4,0.0369,0.0194,0.0546,4,0.6064,0.6031,0.624,5,57.16,53.13,123.85,5,0.0758,0.0658,0.0837,5,0.0421,0.0244,0.0604,5,0.0765,0.0,0.105,5,0.0045,-0.0032,0.0228,4,0.1291,0.0168,0.4205,4,93474816000.0,87842471936.0,127057412096.0,5,110396899328.0,82069815296.0,191409291264.0,5
MSS,MID_STABLE_SOLID,中収益・安定型・健全,成熟した優良企業。安定した配当と財務健全性が特徴。,16,HIGH,"1419.T,2503.T,2587.T,2685.T,2802.T,2897.T,3407.T,3774.T,4028.T,4044.T,4047.T,4064.T,4091.T,4202.T,4208.T,4220.T",17.0423,13.3622,27.5112,16,1.2899,1.0228,1.8425,16,7.414,6.2135,11.166,15,0.0346,0.0282,0.0434,16,0.103,0.0818,0.1152,15,0.041,0.0365,0.0487,15,0.4854,0.4402,0.5613,16,25.13,11.31,36.42,16,0.0867,0.0815,0.1078,16,0.0562,0.0501,0.0677,16,0.1263,0.1124,0.1442,16,0.0395,0.0272,0.048,16,0.142,0.0208,0.2568,14,309195898880.0,109908942848.0,1610118758400.0,16,488091959296.0,121620822016.0,1886651121664.0,16
MSW,MID_LEVERAGED_CYCLICAL,中収益・レバレッジ型・景気敏感,負債を活用しながら中程度の収益を出す。景気に左右されやすい。,18,HIGH,"1820.T,1893.T,2884.T,2933.T,2975.T,3103.T,3231.T,3289.T,3397.T,3465.T,3484.T,3612.T,3762.T,3843.T,3880.T,3968.T,4324.T,4337.T",15.1518,11.0467,20.0547,18,1.9778,1.2866,3.4771,18,8.8295,6.767,12.418,18,0.0354,0.0263,0.0442,16,0.1566,0.0703,0.3055,16,0.0395,0.0297,0.0438,16,0.2544,0.2001,0.2692,18,9.455,7.4825,18.745,16,0.0862,0.0715,0.105,18,0.0381,0.0067,0.0641,18,0.1058,0.0683,0.1396,18,0.093,0.0285,0.1905,16,0.152,-0.033,0.386,11,104376659968.0,36460106752.0,341969408000.0,18,180747325440.0,49297886208.0,510097408000.0,18
NET,PLATFORM_NETWORK,プラットフォーム・ネットワーク型,ネットワーク効果で高収益・高成長。資産は軽いが無形資産が大きい。,48,HIGH,"1417.T,1433.T,1719.T,1720.T,1766.T,1808.T,1812.T,1814.T,1833.T,1861.T,1870.T,1871.T,1878.T,1885.T,1888.T,1911.T,1928.T,1949.T,1952.T,1963.T,1964.T,1969.T,1975.T,1979.T,2130.T,2307.T,2410.T,2726.T,2760.T,2767.T,3036.T,3153.T,3179.T,3252.T,3288.T,3291.T,3393.T,3475.T,3498.T,3636.T,3673.T,3697.T,3788.T,3964.T,4072.T,4384.T,4392.T,4396.T",15.0375,12.1145,18.815,47,2.1158,1.3158,2.6226,48,9.668,6.604,10.6805,47,0.0294,0.0246,0.0366,47,0.1536,0.1063,0.1941,44,0.058,0.0418,0.0834,44,0.4782,0.3888,0.5359,48,49.25,18.5225,154.2,42,0.0827,0.0671,0.1037,48,0.0485,0.0384,0.0663,48,0.0845,0.0633,0.1091,48,0.095,0.0505,0.1632,40,0.146,0.016,0.5388,36,107087405056.0,40031274496.0,283000184832.0,48,127038332928.0,49593802752.0,291657424896.0,48
REAL,REAL_ESTATE_REIT,不動産・REIT型,物件賃貸収益型。FFOや配当利回りで評価。PBRは純資産価値との乖離を見る。,6,MID,"2264.T,2585.T,3086.T,3167.T,3232.T,4331.T",15.1545,11.0243,19.15,6,1.4702,0.9917,1.5493,6,8.729,6.158,9.8735,6,0.0317,0.0242,0.0495,6,0.1126,0.0697,0.1168,5,0.0393,0.0341,0.057,5,0.3902,0.3475,0.4392,6,16.575,11.8625,32.7475,6,0.0979,0.092,0.1033,6,0.0303,0.0056,0.0432,6,0.1044,0.0257,0.1399,6,0.023,0.0145,0.036,4,0.013,-0.2798,0.275,4,105090879488.0,57291667456.0,329130123264.0,6,172979650560.0,89830320128.0,404329910272.0,6
RND,RD_INTENSIVE,研究開発集約型,R&D費が多く利益率が見かけ上低い。製薬・半導体装置に多い。,97,HIGH,"1377.T,1662.T,1663.T,1721.T,1780.T,1879.T,1926.T,1929.T,1930.T,1938.T,1942.T,1944.T,1945.T,1950.T,1959.T,1982.T,2001.T,2002.T,2053.T,2117.T,2121.T,2163.T,2201.T,2207.T,2211.T,2220.T,2229.T,2266.T,2269.T,2294.T,2296.T,2325.T,2327.T,2335.T,2492.T,2659.T,2670.T,2674.T,2676.T,2753.T,2801.T,2804.T,2809.T,2810.T,2910.T,2915.T,2922.T,2930.T,3038.T,3064.T,3087.T,3088.T,3091.T,3148.T,3198.T,3221.T,3302.T,3333.T,3539.T,3569.T,3580.T,3608.T,3626.T,3655.T,3659.T,3694.T,3771.T,3834.T,3844.T,3853.T,3902.T,3916.T,3950.T,3963.T,4008.T,4022.T,4025.T,4027.T,4053.T,4095.T,4099.T,4109.T,4112.T,4180.T,4203.T,4204.T,4205.T,4206.T,4212.T,4221.T,4229.T,4272.T,4290.T,4310.T,4318.T,4323.T,4326.T",17.0358,13.8313,23.042,97,1.4013,0.9786,2.2742,97,8.2415,6.37,10.8932,92,0.0287,0.0214,0.0378,95,0.089,0.0645,0.1269,90,0.0528,0.0354,0.0714,89,0.7072,0.6348,0.7596,97,208.875,86.95,813.2475,78,0.0955,0.065,0.1203,97,0.064,0.0334,0.0909,97,0.1128,0.0704,0.1453,97,0.0705,0.0282,0.1252,82,0.0372,-0.159,0.224,79,71481114624.0,36408578048.0,234275405824.0,97,73017909248.0,28546977792.0,243378847744.0,97
UNK,UNCLASSIFIED,分類不能・データ不足,データ欠損等で分類できない銘柄。,102,HIGH,"1375.T,1429.T,1726.T,1786.T,1801.T,1835.T,1850.T,1852.T,1941.T,1961.T,1976.T,1980.T,2060.T,2108.T,2146.T,2154.T,2168.T,2175.T,2198.T,2206.T,2217.T,2222.T,2270.T,2291.T,2353.T,2359.T,2395.T,2432.T,2433.T,2491.T,2502.T,2540.T,2590.T,2613.T,2678.T,2875.T,2929.T,2982.T,3050.T,3110.T,3176.T,3193.T,3245.T,3276.T,3396.T,3433.T,3445.T,3480.T,3486.T,3529.T,3548.T,3591.T,3607.T,3656.T,3665.T,3668.T,3672.T,3676.T,3681.T,3696.T,3708.T,3726.T,3765.T,3778.T,3840.T,3858.T,3864.T,3865.T,3877.T,3903.T,3924.T,3926.T,3955.T,4021.T,4063.T,4082.T,4186.T,4187.T,4228.T,4249.T,4251.T,4301.T,4333.T,4344.T,4345.T,4368.T,4369.T,4390.T,4403.T,4446.T,4531.T,4814.T,5304.T,5341.T,5915.T,6125.T,6307.T,6327.T,7228.T,7883.T,7938.T,7963.T",14.744,11.9048,22.0493,89,1.5006,0.8513,2.5445,102,7.642,5.0375,11.4642,98,0.033,0.0266,0.0464,88,0.0698,0.0059,0.1424,99,0.0323,0.0092,0.072,99,0.5848,0.4421,0.7193,102,49.79,16.28,127.475,87,0.0534,-0.0225,0.1585,102,0.0385,0.0046,0.0866,102,0.0871,0.0374,0.1519,102,-0.0275,-0.1182,0.0225,100,0.0191,-0.242,0.129,65,41588742144.0,16424481280.0,118507204608.0,102,44376817664.0,14171321600.0,109832009728.0,102
